PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,CabinProcessed,Num,Deck,Side,Group,GroupNum,encTransported,encCryoSleep,encSide,encVIP,MoneySpent,logMoneySpent,spentMoney,residuals,binAge,isKid,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars
0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,B/0/P,0.0,B,P,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,"(35.0, 41.0]",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,F/0/S,0.0,F,S,2.0,1.0,1.0,0.0,1.0,0.0,736.0,6.602587892189336,1,-1.0,"(21.0, 24.0]",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,A/0/S,0.0,A,S,3.0,1.0,0.0,0.0,1.0,1.0,10383.0,9.248021438943873,1,0.0,"(49.0, 79.0]",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,A/0/S,0.0,A,S,3.0,2.0,0.0,0.0,1.0,0.0,5176.0,8.551981016901902,1,0.0,"(31.0, 35.0]",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,F/1/S,1.0,F,S,4.0,1.0,1.0,0.0,1.0,0.0,1091.0,6.9957661563048505,1,-1.0,"(13.0, 18.0]",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,F/0/P,0.0,F,P,5.0,1.0,1.0,0.0,0.0,0.0,774.0,6.652863029353347,1,-1.0,"(41.0, 49.0]",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,F/2/S,2.0,F,S,6.0,1.0,1.0,0.0,1.0,0.0,1584.0,7.368339686311381,1,-1.0,"(24.0, 27.0]",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,,Candra Jacostaffey,True,G/0/S,0.0,G,S,6.0,2.0,1.0,1.0,1.0,0.0,,,0,0.0,"(27.0, 31.0]",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,F/3/S,3.0,F,S,7.0,1.0,1.0,0.0,1.0,0.0,1018.0,6.926577033222725,1,-1.0,"(31.0, 35.0]",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,B/1/P,1.0,B,P,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,"(13.0, 18.0]",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
